2

-0.5235987756	 -0.4363323130	 -0.3490658504	 -0.2617993878	 -0.1745329252	 -0.0872664626	 0.0000000000	 0.0872664626	 0.1745329252	 0.2617993878	 0.3490658504	 0.4363323130	 0.5235987756	 
65000.000	 77000.000	 89000.000	 101000.000	 113000.000	 125000.000	 150000.000	 200000.000	 300000.000	 500000.000	 

0.228620	 0.224598	 0.219774	 0.214205	 0.209396	 0.206836	 0.178331	 0.252401	 0.170766	 0.347287	 
0.250314	 0.246957	 0.242930	 0.238282	 0.234268	 0.232131	 0.201943	 0.287588	 0.192497	 0.380037	 
0.269041	 0.266264	 0.262933	 0.259088	 0.255768	 0.254000	 0.223236	 0.319301	 0.211570	 0.407614	 
0.284231	 0.282118	 0.279584	 0.276659	 0.274133	 0.272788	 0.242282	 0.346913	 0.228425	 0.429542	 
0.295424	 0.294040	 0.292380	 0.290464	 0.288809	 0.287928	 0.257988	 0.370373	 0.241060	 0.444166	 
0.302278	 0.301400	 0.300346	 0.299129	 0.298079	 0.297520	 0.269558	 0.387425	 0.250043	 0.453167	 
0.304587	 0.303571	 0.302352	 0.300946	 0.299731	 0.299085	 0.273657	 0.392059	 0.251857	 0.451122	 
0.302278	 0.299791	 0.296809	 0.293366	 0.290393	 0.288810	 0.267013	 0.382595	 0.246957	 0.442110	 
0.295424	 0.291066	 0.285841	 0.279809	 0.274600	 0.271826	 0.252665	 0.361815	 0.235706	 0.425846	 
0.284231	 0.278018	 0.270568	 0.261967	 0.254540	 0.250586	 0.234545	 0.337480	 0.219474	 0.401529	 
0.269041	 0.261214	 0.251828	 0.240994	 0.231637	 0.226656	 0.213299	 0.307449	 0.200683	 0.371485	 
0.250314	 0.241105	 0.230061	 0.217314	 0.206304	 0.200443	 0.189613	 0.272963	 0.179067	 0.336652	 
0.228620	 0.218304	 0.205933	 0.191654	 0.179321	 0.172755	 0.164175	 0.236765	 0.156978	 0.298402	 
